label,pt0_x,pt0_y,pt1_x,pt1_y,pt2_x,pt2_y,pt3_x,pt3_y,pt4_x,pt4_y,pt5_x,pt5_y,pt6_x,pt6_y,pt7_x,pt7_y,pt8_x,pt8_y,pt9_x,pt9_y,pt10_x,pt10_y,pt11_x,pt11_y,pt12_x,pt12_y,pt13_x,pt13_y,pt14_x,pt14_y,pt15_x,pt15_y,pt16_x,pt16_y,pt17_x,pt17_y,pt18_x,pt18_y,pt19_x,pt19_y,pt20_x,pt20_y
BACKWARD,0.0,0.0,0.04544365406036377,-0.03978842496871948,0.05925765633583069,-0.14046639204025269,0.0134124755859375,-0.20498114824295044,-0.03713667392730713,-0.2268376350402832,0.05968505144119263,-0.22263282537460327,0.08432325720787048,-0.32197821140289307,0.10087847709655762,-0.38287246227264404,0.11154681444168091,-0.4336347281932831,0.017260044813156128,-0.22400689125061035,0.013406723737716675,-0.3348373770713806,0.016291946172714233,-0.40249475836753845,0.013439863920211792,-0.4600030779838562,-0.019986450672149658,-0.19949990510940552,-0.019957780838012695,-0.24754774570465088,0.0015881359577178955,-0.18960148096084595,0.005937367677688599,-0.14883148670196533,-0.054438382387161255,-0.16198545694351196,-0.04689440131187439,-0.21990984678268433,-0.02468937635421753,-0.18132281303405762,-0.017751336097717285,-0.14285922050476074
BACKWARD,0.0,0.0,0.04556405544281006,-0.041478633880615234,0.058174461126327515,-0.14160466194152832,0.012139946222305298,-0.20477205514907837,-0.038286805152893066,-0.22497344017028809,0.05983421206474304,-0.2226496934890747,0.08434894680976868,-0.3221862316131592,0.10098549723625183,-0.38328003883361816,0.11155912280082703,-0.4334660768508911,0.017434507608413696,-0.22370857000350952,0.013799518346786499,-0.3332579731941223,0.016651511192321777,-0.4018154740333557,0.01344713568687439,-0.4592222571372986,-0.02002301812171936,-0.19909930229187012,-0.02017006278038025,-0.24700415134429932,0.001624971628189087,-0.19027382135391235,0.005962252616882324,-0.14960169792175293,-0.05461925268173218,-0.161152184009552,-0.047225505113601685,-0.2195177674293518,-0.02461865544319153,-0.18168121576309204,-0.01740005612373352,-0.14293617010116577
BACKWARD,0.0,0.0,0.04624515771865845,-0.04425477981567383,0.05833813548088074,-0.14482510089874268,0.01206892728805542,-0.20994031429290771,-0.03675004839897156,-0.2350466251373291,0.0626077950000763,-0.22650372982025146,0.08681133389472961,-0.32488036155700684,0.10385656356811523,-0.3857218027114868,0.11444738507270813,-0.4354674220085144,0.020191162824630737,-0.22730541229248047,0.01642569899559021,-0.33813047409057617,0.019767940044403076,-0.40654879808425903,0.016427427530288696,-0.46318602561950684,-0.017835646867752075,-0.2012227177619934,-0.0199892520904541,-0.2533351182937622,0.001528620719909668,-0.1951998472213745,0.006228506565093994,-0.15392273664474487,-0.05343054234981537,-0.16191595792770386,-0.04713210463523865,-0.2244848608970642,-0.02558073401451111,-0.18601959943771362,-0.01921612024307251,-0.1462644338607788
BACKWARD,0.0,0.0,0.028346210718154907,-0.03479623794555664,0.03491571545600891,-0.09298020601272583,0.0020911693572998047,-0.12617254257202148,-0.02658417820930481,-0.1437433958053589,0.03368273377418518,-0.15596264600753784,0.04380270838737488,-0.22047120332717896,0.048390865325927734,-0.2622818946838379,0.051379770040512085,-0.29645055532455444,0.00456574559211731,-0.15423470735549927,-0.0039634108543396,-0.22090637683868408,-0.010218590497970581,-0.266111820936203,-0.0163077712059021,-0.30246639251708984,-0.019990116357803345,-0.13484793901443481,-0.023655295372009277,-0.16344928741455078,-0.010854125022888184,-0.1293342113494873,-0.004575669765472412,-0.10423421859741211,-0.040804117918014526,-0.107047438621521,-0.03781023621559143,-0.1353236436843872,-0.026359885931015015,-0.11163252592086792,-0.02079412341117859,-0.09091979265213013
BACKWARD,0.0,0.0,0.02515256404876709,-0.035406649112701416,0.02973523736000061,-0.09131628274917603,-0.004440903663635254,-0.12025195360183716,-0.03263801336288452,-0.1335200071334839,0.030308306217193604,-0.15144163370132446,0.040914446115493774,-0.21581023931503296,0.045540422201156616,-0.2564866244792938,0.04808780550956726,-0.2903341054916382,0.0008831322193145752,-0.14904475212097168,-0.009354501962661743,-0.2154768705368042,-0.017139047384262085,-0.25857263803482056,-0.024409472942352295,-0.29426777362823486,-0.023139655590057373,-0.12977874279022217,-0.029875576496124268,-0.14857739210128784,-0.019127577543258667,-0.11481791734695435,-0.012499481439590454,-0.09333443641662598,-0.04265570640563965,-0.1035584807395935,-0.045133382081985474,-0.12323415279388428,-0.03603443503379822,-0.0999022126197815,-0.030148684978485107,-0.08254426717758179
BACKWARD,0.0,0.0,0.025277316570281982,-0.030925631523132324,0.028946101665496826,-0.08495056629180908,-0.005977362394332886,-0.11332237720489502,-0.03501865267753601,-0.13010960817337036,0.02567923069000244,-0.14848697185516357,0.035592347383499146,-0.21105295419692993,0.04003804922103882,-0.25234031677246094,0.042416661977767944,-0.2860921621322632,-0.0036992430686950684,-0.1469740867614746,-0.012757271528244019,-0.20954924821853638,-0.02053627371788025,-0.25344616174697876,-0.028408557176589966,-0.28970766067504883,-0.027344852685928345,-0.12761008739471436,-0.03427499532699585,-0.1476038098335266,-0.024621129035949707,-0.11235994100570679,-0.019034385681152344,-0.09079968929290771,-0.04629415273666382,-0.09951579570770264,-0.04922515153884888,-0.1179189682006836,-0.04156026244163513,-0.09484046697616577,-0.036961913108825684,-0.07902634143829346
BACKWARD,0.0,0.0,0.0249844491481781,-0.03804934024810791,0.026001453399658203,-0.09618127346038818,-0.009083747863769531,-0.12266319990158081,-0.03735342621803284,-0.13697457313537598,0.02517622709274292,-0.15440374612808228,0.03347986936569214,-0.21861058473587036,0.037657082080841064,-0.2601204216480255,0.039618104696273804,-0.2944117486476898,-0.005437880754470825,-0.15017080307006836,-0.01651480793952942,-0.217451810836792,-0.02370387315750122,-0.26091498136520386,-0.03118002414703369,-0.29749423265457153,-0.030018776655197144,-0.12819212675094604,-0.03798168897628784,-0.145952045917511,-0.025272220373153687,-0.11180168390274048,-0.01769864559173584,-0.09290790557861328,-0.04993399977684021,-0.0980062484741211,-0.053342849016189575,-0.11769294738769531,-0.04306340217590332,-0.0950080156326294,-0.03662371635437012,-0.07978957891464233
BACKWARD,0.0,0.0,0.024813801050186157,-0.03849327564239502,0.025606989860534668,-0.09737151861190796,-0.010210603475570679,-0.12418437004089355,-0.03936195373535156,-0.13746321201324463,0.02381312847137451,-0.15601879358291626,0.031583964824676514,-0.22071397304534912,0.035295307636260986,-0.2620490491390228,0.0367579460144043,-0.2962084412574768,-0.006780415773391724,-0.15171974897384644,-0.017860382795333862,-0.21841669082641602,-0.025542646646499634,-0.262198269367218,-0.03409335017204285,-0.2977985143661499,-0.03132465481758118,-0.12944000959396362,-0.04054337739944458,-0.14958035945892334,-0.02846100926399231,-0.11482971906661987,-0.021898925304412842,-0.09320604801177979,-0.05119103193283081,-0.09853696823120117,-0.0562264621257782,-0.11995941400527954,-0.046406567096710205,-0.09604394435882568,-0.04027128219604492,-0.07801306247711182
BACKWARD,0.0,0.0,0.024876654148101807,-0.03594648838043213,0.02806207537651062,-0.09524118900299072,-0.008324533700942993,-0.12469780445098877,-0.038352131843566895,-0.139681875705719,0.025708496570587158,-0.1550162434577942,0.03290444612503052,-0.21970105171203613,0.03619298338890076,-0.2605127692222595,0.037174224853515625,-0.29500532150268555,-0.0051383376121521,-0.1502435803413391,-0.01654183864593506,-0.2159915566444397,-0.02448105812072754,-0.25928789377212524,-0.033561646938323975,-0.295454740524292,-0.029952317476272583,-0.1275758147239685,-0.03904867172241211,-0.14564251899719238,-0.024548858404159546,-0.10967516899108887,-0.0160447359085083,-0.08754593133926392,-0.0506148636341095,-0.09674108028411865,-0.05399805307388306,-0.11531919240951538,-0.04282596707344055,-0.09047192335128784,-0.03625679016113281,-0.07305485010147095
BACKWARD,0.0,0.0,0.024876654148101807,-0.03594648838043213,0.02806207537651062,-0.09524118900299072,-0.008324533700942993,-0.12469780445098877,-0.038352131843566895,-0.139681875705719,0.025708496570587158,-0.1550162434577942,0.03290444612503052,-0.21970105171203613,0.03619298338890076,-0.2605127692222595,0.037174224853515625,-0.29500532150268555,-0.0051383376121521,-0.1502435803413391,-0.01654183864593506,-0.2159915566444397,-0.02448105812072754,-0.25928789377212524,-0.033561646938323975,-0.295454740524292,-0.029952317476272583,-0.1275758147239685,-0.03904867172241211,-0.14564251899719238,-0.024548858404159546,-0.10967516899108887,-0.0160447359085083,-0.08754593133926392,-0.0506148636341095,-0.09674108028411865,-0.05399805307388306,-0.11531919240951538,-0.04282596707344055,-0.09047192335128784,-0.03625679016113281,-0.07305485010147095
